created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-06-26 21:35:33 UTC,1,2025-06-27 00:09:32,26.5625,2.0,12,12,6,9,9
2025-06-26 21:36:02 UTC,2,2025-06-27 00:29:15,25.984375,4.0,12,12,3,4,4
2025-06-26 22:06:03 UTC,3,2025-06-27 00:39:06,26.3125,10.0,16,16,5,7,7
2025-06-26 22:06:32 UTC,4,2025-06-27 00:58:48,25.4375,,8,8,4,6,6
2025-06-26 22:36:32 UTC,5,2025-06-27 01:08:39,,2.0,18,18,4,5,5
2025-06-26 22:37:01 UTC,6,2025-06-27 01:28:20,,6.0,16,16,6,8,8
2025-06-26 23:07:05 UTC,7,2025-06-27 01:38:12,25.78,6.0,12,12,1,1,1
2025-06-26 23:07:34 UTC,8,2025-06-27 01:57:54,25.11,4.0,12,12,3,4,4
2025-06-26 23:37:34 UTC,9,2025-06-27 02:07:45,26.66,4.0,12,12,6,8,8
2025-06-26 23:38:03 UTC,10,2025-06-27 02:27:27,25.11,6.0,14,14,3,4,4
2025-06-27 00:08:08 UTC,11,2025-06-27 02:47:11,24.98,2.0,14,14,5,7,7
2025-06-27 00:08:37 UTC,12,2025-06-27 03:06:52,24.44,4.0,14,22,3,4,4
2025-06-27 00:38:42 UTC,13,2025-06-27 03:16:44,24.98,6.0,26,26,4,6,6
2025-06-27 00:39:11 UTC,14,2025-06-27 03:36:26,24.44,2.0,10,10,2,3,3
2025-06-27 01:09:13 UTC,15,2025-06-27 03:46:16,24.64,4.0,14,14,5,7,7
2025-06-27 01:09:42 UTC,16,2025-06-27 04:05:59,24.64,4.0,12,12,5,7,7
2025-06-27 01:39:44 UTC,17,2025-06-27 04:15:49,24.91,2.0,12,12,5,7,7
2025-06-27 01:40:13 UTC,18,2025-06-27 04:35:32,24.31,2.0,14,14,4,6,6
2025-06-27 02:10:13 UTC,19,2025-06-27 04:45:24,24.58,4.0,24,24,5,7,7
2025-06-27 02:10:42 UTC,20,2025-06-27 05:05:07,23.98,6.0,16,22,8,11,11
2025-06-27 02:40:44 UTC,21,2025-06-27 05:14:57,23.78,4.0,18,18,6,8,8
2025-06-27 02:41:13 UTC,22,2025-06-27 05:34:40,23.64,2.0,10,10,6,8,8
2025-06-27 03:11:14 UTC,23,2025-06-27 05:44:32,23.44,10.0,26,26,7,10,10
2025-06-27 03:11:43 UTC,24,2025-06-27 06:04:15,23.11,4.0,16,16,6,8,8
2025-06-27 03:41:43 UTC,25,2025-06-27 06:14:06,23.44,10.0,22,22,2,3,3
2025-06-27 03:42:12 UTC,26,2025-06-27 06:33:48,23.11,4.0,20,26,7,10,10
2025-06-27 04:12:17 UTC,27,2025-06-27 06:43:39,23.98,6.0,12,18,6,9,9
2025-06-27 04:12:45 UTC,28,2025-06-27 07:03:20,23.64,8.0,30,30,10,14,14
2025-06-27 06:45:07 UTC,29,2025-06-27 07:13:12,24.44,8.0,18,18,6,8,8
2025-06-27 06:45:36 UTC,30,2025-06-27 07:32:55,23.78,2.0,14,14,2,3,3
2025-06-27 06:46:05 UTC,31,2025-06-27 07:52:36,24.44,2.0,10,10,4,5,5
2025-06-27 06:46:33 UTC,32,2025-06-27 08:12:20,25.23,4.0,12,12,4,6,6
2025-06-27 06:47:02 UTC,33,2025-06-27 08:32:04,25.31,8.0,20,20,5,7,7
2025-06-27 06:47:31 UTC,34,2025-06-27 08:51:46,25.91,10.0,22,22,7,10,10
2025-06-27 06:48:00 UTC,35,2025-06-27 09:11:28,26.23,18.0,34,42,9,13,13
2025-06-27 06:48:29 UTC,36,2025-06-27 09:31:12,26.23,16.0,34,40,9,13,13
2025-06-27 07:15:39 UTC,37,2025-06-27 09:50:54,26.44,18.0,28,50,8,11,11
2025-06-27 07:16:07 UTC,38,2025-06-27 10:10:36,26.78,10.0,34,34,8,11,11
2025-06-27 07:46:08 UTC,39,2025-06-27 10:20:28,27.56,20.0,38,38,9,13,13
2025-06-27 07:46:37 UTC,40,2025-06-27 10:40:11,27.11,16.0,36,36,11,16,18
2025-06-27 08:16:39 UTC,41,2025-06-27 10:50:02,27.78,18.0,42,42,4,6,6
2025-06-27 08:17:07 UTC,42,2025-06-27 11:09:44,27.56,22.0,36,36,7,10,10
2025-06-27 08:47:14 UTC,43,2025-06-27 11:19:36,28.31,22.0,38,38,7,10,10
2025-06-27 08:47:43 UTC,44,2025-06-27 11:39:19,27.98,14.0,24,30,7,10,10
2025-06-27 09:17:46 UTC,45,2025-06-27 11:49:10,29.31,20.0,30,30,8,11,11
2025-06-27 09:18:15 UTC,46,2025-06-27 12:08:52,28.66,18.0,32,32,9,13,13
2025-06-27 09:48:29 UTC,47,2025-06-27 12:18:42,29.98,14.0,24,32,8,11,11
2025-06-27 09:48:58 UTC,48,2025-06-27 12:38:25,28.98,14.0,32,42,8,11,11
2025-06-27 10:19:01 UTC,49,2025-06-27 12:58:07,29.11,18.0,30,30,7,10,10
2025-06-27 10:19:30 UTC,50,2025-06-27 13:17:49,29.31,12.0,32,32,8,11,11
2025-06-27 10:49:32 UTC,51,2025-06-27 13:27:40,29.44,16.0,34,58,8,11,11
2025-06-27 10:50:00 UTC,52,2025-06-27 13:47:22,29.66,16.0,26,26,10,14,14
2025-06-27 11:20:02 UTC,53,2025-06-27 13:57:12,29.98,22.0,36,36,8,11,11
2025-06-27 11:20:30 UTC,54,2025-06-27 14:16:55,29.98,14.0,30,30,8,11,11
2025-06-27 11:50:34 UTC,55,2025-06-27 14:26:45,30.56,14.0,24,24,8,11,11
2025-06-27 11:51:02 UTC,56,2025-06-27 14:46:28,29.98,20.0,34,34,8,11,11
2025-06-27 12:21:03 UTC,57,2025-06-27 14:56:20,30.56,20.0,46,56,7,10,10
2025-06-27 12:21:32 UTC,58,2025-06-27 15:16:03,30.11,14.0,26,34,6,8,8
2025-06-27 12:51:33 UTC,59,2025-06-27 15:25:53,30.44,10.0,20,20,8,11,11
2025-06-27 12:52:01 UTC,60,2025-06-27 15:45:36,30.44,12.0,28,28,8,11,11
2025-06-27 13:22:03 UTC,61,2025-06-27 15:55:28,30.66,16.0,28,28,6,8,8
2025-06-27 13:22:32 UTC,62,2025-06-27 16:15:11,30.44,12.0,24,24,7,10,10
2025-06-27 13:52:33 UTC,63,2025-06-27 16:25:02,30.98,12.0,28,28,8,11,11
2025-06-27 13:53:02 UTC,64,2025-06-27 16:44:44,30.78,16.0,30,30,8,11,11
2025-06-27 14:23:03 UTC,65,2025-06-27 16:54:34,31.11,14.0,28,38,9,13,13
2025-06-27 14:23:31 UTC,66,2025-06-27 17:14:17,30.98,20.0,44,72,10,14,14
2025-06-27 16:56:15 UTC,67,2025-06-27 17:24:07,31.98,22.0,48,48,9,13,13
2025-06-27 16:56:44 UTC,68,2025-06-27 17:43:50,30.78,22.0,40,40,9,13,13
2025-06-27 16:57:13 UTC,69,2025-06-27 18:03:32,30.78,26.0,46,46,12,17,20
2025-06-27 16:57:42 UTC,70,2025-06-27 18:23:16,30.91,32.0,56,64,9,13,13
2025-06-27 16:58:10 UTC,71,2025-06-27 18:42:59,30.31,40.0,62,74,17,25,29
2025-06-27 16:58:39 UTC,72,2025-06-27 19:02:41,30.23,52.0,80,98,17,25,29
2025-06-27 16:59:08 UTC,73,2025-06-27 19:22:24,30.23,24.0,46,46,9,13,13
2025-06-27 16:59:37 UTC,74,2025-06-27 19:42:06,29.11,26.0,36,36,8,11,11
2025-06-27 17:26:47 UTC,75,2025-06-27 20:01:48,29.91,20.0,48,54,10,14,15
2025-06-27 17:27:16 UTC,76,2025-06-27 20:21:31,28.98,34.0,46,62,10,14,15
2025-06-27 17:57:18 UTC,77,2025-06-27 20:31:21,29.11,24.0,36,36,10,14,15
2025-06-27 17:57:47 UTC,78,2025-06-27 20:51:04,28.66,22.0,34,34,8,11,11
2025-06-27 18:27:48 UTC,79,2025-06-27 21:00:56,28.78,22.0,40,40,12,17,20
2025-06-27 18:28:17 UTC,80,2025-06-27 21:20:39,28.31,24.0,40,40,11,16,18
2025-06-27 18:58:18 UTC,81,2025-06-27 21:30:30,28.66,20.0,36,36,8,11,11
2025-06-27 18:58:47 UTC,82,2025-06-27 21:50:12,27.78,26.0,44,44,8,11,11
2025-06-27 19:28:47 UTC,83,2025-06-27 22:00:02,28.66,18.0,32,32,8,11,11
2025-06-27 19:29:16 UTC,84,2025-06-27 22:19:45,27.78,26.0,56,64,7,10,10
2025-06-27 20:00:21 UTC,85,2025-06-27 22:29:36,28.44,12.0,22,22,9,13,13
2025-06-27 20:00:50 UTC,86,2025-06-27 22:49:18,27.44,22.0,42,54,8,11,11
